tar1	tar2	tarPair	APF_score	Seq	APF_sim	Seq_distance
1	1	1CM8:1CM8	-642.798	324.538	1.	0.
1	2	1CM8:1Q41	-314.482	90.2873	0.300648	0.927604
1	3	1CM8:1S9I	-357.886	50.3647	0.174657	0.974539
1	4	1CM8:1T46	-337.668	44.1398	0.211627	0.980556
1	5	1CM8:1UA2	-319.178	92.1417	0.213735	0.911652
1	6	1CM8:1X8B	-312.036	38.9074	0.287512	0.981825
1	7	1CM8:1XJD	-389.705	59.8244	0.371825	0.962993
1	8	1CM8:2C47	-294.857	41.8813	0.329945	0.981981
1	9	1CM8:2CMW	-240.953	35.204	0.169975	0.987649
1	10	1CM8:2DQ7	-382.672	49.8344	0.423787	0.97183
1	11	1CM8:2HW7	-335.165	59.0907	0.309033	0.961948
1	12	1CM8:2I1M	-271.123	40.5153	0.200084	0.984034
1	13	1CM8:2JDO	-345.505	57.925	0.298578	0.968025
1	14	1CM8:2NRU	-312.438	46.1724	0.236463	0.976674
1	15	1CM8:2QD9	-318.899	220.121	0.22936	0.548182
1	16	1CM8:2RKU	-284.209	60.4574	0.188357	0.962684
1	17	1CM8:2V7O	-332.887	61.1048	0.311672	0.963378
1	18	1CM8:2VZ6	-300.159	59.6569	0.255855	0.963388
1	19	1CM8:2WEL	-277.662	58.5082	0.238629	0.966052
1	20	1CM8:2X2M	-291.873	48.877	0.316574	0.97477
1	21	1CM8:2X4Z	-288.307	70.9405	0.212806	0.946282
1	22	1CM8:2XNM	-255.109	44.0625	0.173381	0.977308
1	23	1CM8:2Y7J	-304.558	64.6153	0.257793	0.955238
1	24	1CM8:2YCF	-218.713	70.0604	0.125695	0.94695
1	25	1CM8:2YEX	-254.713	50.9051	0.23517	0.971928
1	26	1CM8:3BHY	-381.733	61.0024	0.391996	0.955671
1	27	1CM8:3BLR	-424.159	92.2428	0.439287	0.914828
1	28	1CM8:3E7O	-313.448	171.099	0.32455	0.738048
1	29	1CM8:3EQR	-323.175	34.6232	0.243847	0.986997
1	30	1CM8:3F66	-290.933	44.1246	0.264239	0.979937
1	31	1CM8:3FHR	-309.613	41.6953	0.26396	0.980883
1	32	1CM8:3FXZ	-269.554	60.2662	0.199839	0.960373
1	33	1CM8:3FZT	-203.075	38.1376	0.0836617	0.983865
1	34	1CM8:3HDM	-285.527	50.295	0.256279	0.973558
1	35	1CM8:3HNG	-296.573	45.0704	0.197219	0.979159
1	36	1CM8:3MPM	-320.329	48.6696	0.27466	0.972294
1	37	1CM8:3NR9	-378.318	74.4616	0.376588	0.951722
1	38	1CM8:3OY1	-317.369	163.136	0.228911	0.755741
1	39	1CM8:3PLS	-336.623	48.2533	0.285584	0.976728
1	40	1CM8:3POZ	-341.324	45.1416	0.217922	0.979148
1	41	1CM8:3PP0	-339.464	38.6365	0.215598	0.98443
1	42	1CM8:3Q4U	-346.056	38.608	0.352479	0.984969
1	43	1CM8:3R04	-352.109	44.8277	0.346732	0.978774
1	44	1CM8:3RGF	-290.403	85.8417	0.163983	0.932795
1	45	1CM8:3SXS	-320.218	45.2655	0.248237	0.977385
1	46	1CM8:3V8S	-308.781	48.9878	0.294026	0.98192
1	47	1CM8:3VO3	-353.919	46.8405	0.277167	0.979034
1	48	1CM8:3VVH	-392.534	50.4459	0.213164	0.973038
1	49	1CM8:3WF7	-301.339	65.1946	0.201982	0.95593
1	50	1CM8:3ZBF	-335.049	36.5525	0.347075	0.986067
1	51	1CM8:4AT5	-279.831	45.782	0.181269	0.978872
1	52	1CM8:4AU8	-342.092	94.0473	0.335367	0.90413
1	53	1CM8:4B6L	-287.683	62.3416	0.197963	0.958945
1	54	1CM8:4BKY	-409.661	57.0931	0.379423	0.968562
1	55	1CM8:4CLJ	-339.778	34.3944	0.32727	0.988619
1	56	1CM8:4CRS	-388.664	56.9937	0.343528	0.971455
1	57	1CM8:4E93	-383.438	49.0153	0.36195	0.980195
1	58	1CM8:4EYJ	-269.892	227.897	0.177452	0.523504
1	59	1CM8:4F9C	-366.186	63.7008	0.415576	0.958309
1	60	1CM8:4FYO	-264.804	42.8907	0.200211	0.97967
1	61	1CM8:4GCJ	-376.392	107.083	0.322438	0.885829
1	62	1CM8:4GIH	-315.605	48.0849	0.298993	0.97682
1	63	1CM8:4GV1	-379.51	54.3602	0.335531	0.972975
1	64	1CM8:4HCU	-283.969	43.4089	0.16428	0.978835
1	65	1CM8:4HGS	-339.161	37.3255	0.262748	0.986623
1	66	1CM8:4HVD	-335.081	45.2486	0.331244	0.978274
1	67	1CM8:4I4E	-288.	37.6791	0.224077	0.983511
1	68	1CM8:4IM0	-355.875	49.9169	0.340585	0.987452
1	69	1CM8:4IVA	-334.58	51.5425	0.345506	0.972378
1	70	1CM8:4K33	-371.852	46.4264	0.326819	0.977769
1	71	1CM8:4KIK	-402.551	50.0486	0.418062	0.987309
1	72	1CM8:4KWP	-309.627	89.7034	0.285904	0.927826
1	73	1CM8:4L7F	-369.824	163.505	0.30153	0.772402
1	74	1CM8:4NW6	-343.113	65.1739	0.323237	0.956777
1	75	1CM8:4OBO	-309.03	50.9784	0.314162	0.971889
1	76	1CM8:4PMM	-307.725	41.9578	0.199248	0.982161
1	77	1CM8:4QTE	-412.101	153.891	0.347824	0.797425
1	78	1CM8:4RFZ	-272.168	41.5032	0.160927	0.980297
1	79	1CM8:4RT7	-330.345	42.3879	0.224734	0.980898
1	80	1CM8:4TND	-283.785	57.5065	0.224603	0.981678
1	81	1CM8:4TWC	-299.165	32.5271	0.207069	0.989373
1	82	1CM8:4U8Z	-336.533	54.0939	0.322304	0.96835
1	83	1CM8:4USF	-270.885	54.9725	0.192385	0.966462
1	84	1CM8:4WOT	-392.58	52.1064	0.294259	0.97932
1	85	1CM8:4X7Q	-388.352	41.4122	0.350955	0.980528
1	86	1CM8:4XV2	-308.442	49.415	0.196002	0.969809
1	87	1CM8:4YLK	-296.421	68.9316	0.270248	0.958699
1	88	1CM8:4YMJ	-306.415	44.1237	0.2709	0.978912
1	89	1CM8:5EAK	-359.918	59.2284	0.334826	0.96453
1	90	1CM8:5EBZ	-275.787	53.0944	0.218257	0.98688
1	91	1CM8:5EZV	-357.338	55.3253	0.323241	0.979142
1	92	1CM8:5GRN	-329.056	41.5545	0.195976	0.982011
1	93	1CM8:5H2U	-276.322	45.212	0.193424	0.97734
1	94	1CM8:5JIX	-196.055	15.6302	0.0867677	0.994659
1	95	1CM8:5JZN	-365.313	63.7782	0.31637	0.953427
1	96	1CM8:5L0N	-165.631	13.388	0.0837922	0.995556
1	97	1CM8:5LI9	-353.527	50.6202	0.30983	0.976909
1	98	1CM8:5MY8	-326.023	57.576	0.232001	0.972356
1	99	1CM8:5NKF	-305.05	45.658	0.239234	0.978196
1	100	1CM8:5U6B	-351.573	43.1517	0.331465	0.979203
1	101	1CM8:5UYJ	-345.658	55.2328	0.298467	0.966965
1	102	1CM8:5BX6	-278.777	58.3047	0.328282	0.969969
1	103	1CM8:4MXO	-327.722	52.173	0.276983	0.970075
1	104	1CM8:5G1X	-349.483	62.1205	0.34293	0.955394
1	105	1CM8:5HU9	-322.476	48.1905	0.174333	0.974556
1	106	1CM8:3KN5	-295.015	59.037	0.250391	0.961844
1	107	1CM8:3BBT	-266.253	37.4862	0.158528	0.984945
1	108	1CM8:3S95	-356.675	47.2736	0.351322	0.978054
1	109	1CM8:5HES	-318.706	43.7295	0.16599	0.979917
2	1	1Q41:1CM8	-314.5	90.2873	0.300648	0.927604
2	2	1Q41:1Q41	-511.78	346.954	1.	0.
2	3	1Q41:1S9I	-298.723	58.4852	0.152867	0.967885
2	4	1Q41:1T46	-295.423	43.9421	0.203443	0.981975
2	5	1Q41:1UA2	-256.007	108.666	0.172693	0.885061
2	6	1Q41:1X8B	-297.544	37.8452	0.328375	0.983915
2	7	1Q41:1XJD	-325.678	62.8091	0.326178	0.961844
2	8	1Q41:2C47	-260.261	29.5593	0.322895	0.991604
2	9	1Q41:2CMW	-274.11	36.61	0.276244	0.987506
2	10	1Q41:2DQ7	-329.661	46.2397	0.395007	0.977314
2	11	1Q41:2HW7	-290.062	47.1161	0.290684	0.977371
2	12	1Q41:2I1M	-307.031	41.1008	0.322224	0.984631
2	13	1Q41:2JDO	-256.21	60.7069	0.206186	0.967149
2	14	1Q41:2NRU	-324.012	41.3602	0.319361	0.982492
2	15	1Q41:2QD9	-261.828	87.5376	0.194217	0.933162
2	16	1Q41:2RKU	-285.714	64.1791	0.239099	0.960665
2	17	1Q41:2V7O	-281.186	56.344	0.279349	0.970874
2	18	1Q41:2VZ6	-297.899	56.1496	0.316544	0.969662
2	19	1Q41:2WEL	-272.943	60.3327	0.289635	0.966234
2	20	1Q41:2X2M	-318.739	43.1695	0.474152	0.98159
2	21	1Q41:2X4Z	-282.54	66.4751	0.256712	0.95588
2	22	1Q41:2XNM	-232.644	48.9986	0.181123	0.973753
2	23	1Q41:2Y7J	-303.177	61.02	0.320856	0.96266
2	24	1Q41:2YCF	-210.876	70.2226	0.146768	0.950148
2	25	1Q41:2YEX	-299.844	59.3379	0.409288	0.964321
2	26	1Q41:3BHY	-294.328	57.9114	0.292687	0.962631
2	27	1Q41:3BLR	-322.053	84.5301	0.318039	0.933097
2	28	1Q41:3E7O	-333.683	80.8627	0.461965	0.945271
2	29	1Q41:3EQR	-288.27	46.5482	0.243697	0.978017
2	30	1Q41:3F66	-304.92	45.7063	0.36449	0.979863
2	31	1Q41:3FHR	-254.291	40.4541	0.223596	0.983167
2	32	1Q41:3FXZ	-298.555	54.6742	0.307888	0.969492
2	33	1Q41:3FZT	-206.913	50.1724	0.109103	0.973878
2	34	1Q41:3HDM	-283.79	67.0666	0.317959	0.956021
